"Step","cfq/curr_sort_chia_htl_20 - validation/test/accuracy/total","cfq/curr_sort_chia_htl_20 - validation/test/accuracy/total__MIN","cfq/curr_sort_chia_htl_20 - validation/test/accuracy/total__MAX","cfq/curr_sort_chia_etl_20 - validation/test/accuracy/total","cfq/curr_sort_chia_etl_20 - validation/test/accuracy/total__MIN","cfq/curr_sort_chia_etl_20 - validation/test/accuracy/total__MAX","cfq/curr_sort_chia_amb_20 - validation/test/accuracy/total","cfq/curr_sort_chia_amb_20 - validation/test/accuracy/total__MIN","cfq/curr_sort_chia_amb_20 - validation/test/accuracy/total__MAX","cfq_full_42 - validation/test/accuracy/total","cfq_full_42 - validation/test/accuracy/total__MIN","cfq_full_42 - validation/test/accuracy/total__MAX","curr_sort/cfq/bl_htl_20 - validation/test/accuracy/total","curr_sort/cfq/bl_htl_20 - validation/test/accuracy/total__MIN","curr_sort/cfq/bl_htl_20 - validation/test/accuracy/total__MAX","curr_sort/cfq/ip_htl_20 - validation/test/accuracy/total","curr_sort/cfq/ip_htl_20 - validation/test/accuracy/total__MIN","curr_sort/cfq/ip_htl_20 - validation/test/accuracy/total__MAX","curr_sort/cfq/ip_etl_20 - validation/test/accuracy/total","curr_sort/cfq/ip_etl_20 - validation/test/accuracy/total__MIN","curr_sort/cfq/ip_etl_20 - validation/test/accuracy/total__MAX","curr_sort/cfq/ip_amb_20 - validation/test/accuracy/total","curr_sort/cfq/ip_amb_20 - validation/test/accuracy/total__MIN","curr_sort/cfq/ip_amb_20 - validation/test/accuracy/total__MAX","curr_sort/cfq/bl_etl_20 - validation/test/accuracy/total","curr_sort/cfq/bl_etl_20 - validation/test/accuracy/total__MIN","curr_sort/cfq/bl_etl_20 - validation/test/accuracy/total__MAX","curr_sort/cfq/bl_amb_20 - validation/test/accuracy/total","curr_sort/cfq/bl_amb_20 - validation/test/accuracy/total__MIN","curr_sort/cfq/bl_amb_20 - validation/test/accuracy/total__MAX"
"69","0.0009191176470588235","0.0009191176470588235","0.0009191176470588235","0.022476604278074866","0.022476604278074866","0.022476604278074866","0.017881016042780747","0.017881016042780747","0.017881016042780747","0.03609625668449198","0.03609625668449198","0.03609625668449198","0.0032586898395721925","0.0032586898395721925","0.0032586898395721925","0.005598262032085561","0.005598262032085561","0.005598262032085561","0.019635695187165774","0.019635695187165774","0.019635695187165774","0.032670454545454544","0.032670454545454544","0.032670454545454544","0.022142379679144383","0.022142379679144383","0.022142379679144383","0.01579211229946524","0.01579211229946524","0.01579211229946524"
"140","0.019719251336898395","0.019719251336898395","0.019719251336898395","0.0325033422459893","0.0325033422459893","0.0325033422459893","0.045203877005347594","0.045203877005347594","0.045203877005347594","0.07419786096256685","0.07419786096256685","0.07419786096256685","0.02347927807486631","0.02347927807486631","0.02347927807486631","0.01804812834224599","0.01804812834224599","0.01804812834224599","0.03442513368983957","0.03442513368983957","0.03442513368983957","0.05431149732620321","0.05431149732620321","0.05431149732620321","0.03459224598930481","0.03459224598930481","0.03459224598930481","0.04771056149732621","0.04771056149732621","0.04771056149732621"
"210","0.026988636363636364","0.026988636363636364","0.026988636363636364","0.045287433155080214","0.045287433155080214","0.045287433155080214","0.05748663101604278","0.05748663101604278","0.05748663101604278","0.11363636363636363","0.11363636363636363","0.11363636363636363","0.05481283422459893","0.05481283422459893","0.05481283422459893","0.053643048128342245","0.053643048128342245","0.053643048128342245","0.05623328877005348","0.05623328877005348","0.05623328877005348","0.06233288770053476","0.06233288770053476","0.06233288770053476","0.0419451871657754","0.0419451871657754","0.0419451871657754","0.05005013368983957","0.05005013368983957","0.05005013368983957"
"281","0.078125","0.078125","0.078125","0.04478609625668449","0.04478609625668449","0.04478609625668449","0.07127339572192513","0.07127339572192513","0.07127339572192513","0.16711229946524064","0.16711229946524064","0.16711229946524064","0.10753676470588236","0.10753676470588236","0.10753676470588236","0.10528074866310161","0.10528074866310161","0.10528074866310161","0.058990641711229946","0.058990641711229946","0.058990641711229946","0.061163101604278076","0.061163101604278076","0.061163101604278076","0.05088569518716578","0.05088569518716578","0.05088569518716578","0.06901737967914438","0.06901737967914438","0.06901737967914438"
"352","0.11747994652406417","0.11747994652406417","0.11747994652406417","0.05472927807486631","0.05472927807486631","0.05472927807486631","0.08648061497326204","0.08648061497326204","0.08648061497326204","0.22025401069518716","0.22025401069518716","0.22025401069518716","0.1702038770053476","0.1702038770053476","0.1702038770053476","0.14162767379679145","0.14162767379679145","0.14162767379679145","0.05940842245989305","0.05940842245989305","0.05940842245989305","0.07135695187165775","0.07135695187165775","0.07135695187165775","0.04369986631016043","0.04369986631016043","0.04369986631016043","0.07311163101604277","0.07311163101604277","0.07311163101604277"
"422","0.1620153743315508","0.1620153743315508","0.1620153743315508","0.07002005347593583","0.07002005347593583","0.07002005347593583","0.11313502673796791","0.11313502673796791","0.11313502673796791","0.2467413101604278","0.2467413101604278","0.2467413101604278","0.2352105614973262","0.2352105614973262","0.2352105614973262","0.212149064171123","0.212149064171123","0.212149064171123","0.07520053475935828","0.07520053475935828","0.07520053475935828","0.0768716577540107","0.0768716577540107","0.0768716577540107","0.05932486631016043","0.05932486631016043","0.05932486631016043","0.0826370320855615","0.0826370320855615","0.0826370320855615"
"493","0.19978275401069517","0.19978275401069517","0.19978275401069517","0.06776403743315508","0.06776403743315508","0.06776403743315508","0.09032419786096256","0.09032419786096256","0.09032419786096256","0.26888368983957217","0.26888368983957217","0.26888368983957217","0.23429144385026737","0.23429144385026737","0.23429144385026737","0.20571524064171123","0.20571524064171123","0.20571524064171123","0.045203877005347594","0.045203877005347594","0.045203877005347594","0.06408756684491979","0.06408756684491979","0.06408756684491979","0.061079545454545456","0.061079545454545456","0.061079545454545456","0.06626002673796791","0.06626002673796791","0.06626002673796791"
"564","0.24005681818181818","0.24005681818181818","0.24005681818181818","0.08965574866310161","0.08965574866310161","0.08965574866310161","0.13644719251336898","0.13644719251336898","0.13644719251336898","0.2856784759358289","0.2856784759358289","0.2856784759358289","0.24289772727272727","0.24289772727272727","0.24289772727272727","0.2682152406417112","0.2682152406417112","0.2682152406417112","0.0830548128342246","0.0830548128342246","0.0830548128342246","0.1019385026737968","0.1019385026737968","0.1019385026737968","0.07795788770053476","0.07795788770053476","0.07795788770053476","0.11823195187165775","0.11823195187165775","0.11823195187165775"
"634","0.23445855614973263","0.23445855614973263","0.23445855614973263","0.0986798128342246","0.0986798128342246","0.0986798128342246","0.15031751336898397","0.15031751336898397","0.15031751336898397","0.29612299465240643","0.29612299465240643","0.29612299465240643","0.27807486631016043","0.27807486631016043","0.27807486631016043","0.2750668449197861","0.2750668449197861","0.2750668449197861","0.08497660427807487","0.08497660427807487","0.08497660427807487","0.10185494652406417","0.10185494652406417","0.10185494652406417","0.08205213903743315","0.08205213903743315","0.08205213903743315","0.1345254010695187","0.1345254010695187","0.1345254010695187"
"705","0.2510026737967914","0.2510026737967914","0.2510026737967914","0.09842914438502674","0.09842914438502674","0.09842914438502674","0.16092914438502673","0.16092914438502673","0.16092914438502673","0.30364304812834225","0.30364304812834225","0.30364304812834225","0.29629010695187163","0.29629010695187163","0.29629010695187163","0.2796624331550802","0.2796624331550802","0.2796624331550802","0.10051804812834225","0.10051804812834225","0.10051804812834225","0.10369318181818182","0.10369318181818182","0.10369318181818182","0.07720588235294118","0.07720588235294118","0.07720588235294118","0.13962232620320855","0.13962232620320855","0.13962232620320855"
