"Step","cogs/curr_chia_htl_10 - validation/gen/accuracy/total","cogs/curr_chia_htl_10 - validation/gen/accuracy/total__MIN","cogs/curr_chia_htl_10 - validation/gen/accuracy/total__MAX","cogs/curr_chia_etl_10 - validation/gen/accuracy/total","cogs/curr_chia_etl_10 - validation/gen/accuracy/total__MIN","cogs/curr_chia_etl_10 - validation/gen/accuracy/total__MAX","cogs/curr_chia_amb_10 - validation/gen/accuracy/total","cogs/curr_chia_amb_10 - validation/gen/accuracy/total__MIN","cogs/curr_chia_amb_10 - validation/gen/accuracy/total__MAX","cogs_full_42 - validation/gen/accuracy/total","cogs_full_42 - validation/gen/accuracy/total__MIN","cogs_full_42 - validation/gen/accuracy/total__MAX","curr/cogs/inv_ppl_amb_10 - validation/gen/accuracy/total","curr/cogs/inv_ppl_amb_10 - validation/gen/accuracy/total__MIN","curr/cogs/inv_ppl_amb_10 - validation/gen/accuracy/total__MAX","curr/cogs/inv_ppl_htl_10 - validation/gen/accuracy/total","curr/cogs/inv_ppl_htl_10 - validation/gen/accuracy/total__MIN","curr/cogs/inv_ppl_htl_10 - validation/gen/accuracy/total__MAX","curr/cogs/inv_ppl_etl_10 - validation/gen/accuracy/total","curr/cogs/inv_ppl_etl_10 - validation/gen/accuracy/total__MIN","curr/cogs/inv_ppl_etl_10 - validation/gen/accuracy/total__MAX","curr/cogs/bleu_htl_10 - validation/gen/accuracy/total","curr/cogs/bleu_htl_10 - validation/gen/accuracy/total__MIN","curr/cogs/bleu_htl_10 - validation/gen/accuracy/total__MAX","curr/cogs/bleu_amb_10 - validation/gen/accuracy/total","curr/cogs/bleu_amb_10 - validation/gen/accuracy/total__MIN","curr/cogs/bleu_amb_10 - validation/gen/accuracy/total__MAX","curr/cogs/bleu_etl_10 - validation/gen/accuracy/total","curr/cogs/bleu_etl_10 - validation/gen/accuracy/total__MIN","curr/cogs/bleu_etl_10 - validation/gen/accuracy/total__MAX"
"31","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"64","0","0","0","0","0","0","0.00009523809523809524","0.00009523809523809524","0.00009523809523809524","0","0","0","0","0","0","0.0005238095238095238","0.0005238095238095238","0.0005238095238095238","0","0","0","0.00042857142857142855","0.00042857142857142855","0.00042857142857142855","0","0","0","0","0","0"
"96","0.00004761904761904762","0.00004761904761904762","0.00004761904761904762","0","0","0","0.0008571428571428571","0.0008571428571428571","0.0008571428571428571","0","0","0","0","0","0","0.0015238095238095239","0.0015238095238095239","0.0015238095238095239","0","0","0","0.0020476190476190477","0.0020476190476190477","0.0020476190476190477","0.00019047619047619048","0.00019047619047619048","0.00019047619047619048","0","0","0"
"129","0.00028571428571428574","0.00028571428571428574","0.00028571428571428574","0","0","0","0.0002380952380952381","0.0002380952380952381","0.0002380952380952381","0","0","0","0","0","0","0.005857142857142857","0.005857142857142857","0.005857142857142857","0","0","0","0.003857142857142857","0.003857142857142857","0.003857142857142857","0.00019047619047619048","0.00019047619047619048","0.00019047619047619048","0","0","0"
"162","0.0020952380952380953","0.0020952380952380953","0.0020952380952380953","0","0","0","0.004380952380952381","0.004380952380952381","0.004380952380952381","0.0024285714285714284","0.0024285714285714284","0.0024285714285714284","0","0","0","0.008714285714285714","0.008714285714285714","0.008714285714285714","0","0","0","0.02919047619047619","0.02919047619047619","0.02919047619047619","0.0006666666666666666","0.0006666666666666666","0.0006666666666666666","0","0","0"
"194","0.01380952380952381","0.01380952380952381","0.01380952380952381","0","0","0","0.010619047619047618","0.010619047619047618","0.010619047619047618","0.020285714285714285","0.020285714285714285","0.020285714285714285","0","0","0","0.015904761904761904","0.015904761904761904","0.015904761904761904","0","0","0","0.06076190476190476","0.06076190476190476","0.06076190476190476","0.004952380952380952","0.004952380952380952","0.004952380952380952","0","0","0"
"227","0.018952380952380953","0.018952380952380953","0.018952380952380953","0","0","0","0.007571428571428572","0.007571428571428572","0.007571428571428572","0.09642857142857143","0.09642857142857143","0.09642857142857143","0","0","0","0.03042857142857143","0.03042857142857143","0.03042857142857143","0","0","0","0.09195238095238095","0.09195238095238095","0.09195238095238095","0.007619047619047619","0.007619047619047619","0.007619047619047619","0","0","0"
"260","0.028047619047619047","0.028047619047619047","0.028047619047619047","0","0","0","0.011904761904761904","0.011904761904761904","0.011904761904761904","0.07395238095238095","0.07395238095238095","0.07395238095238095","0","0","0","0.03571428571428571","0.03571428571428571","0.03571428571428571","0","0","0","0.07680952380952381","0.07680952380952381","0.07680952380952381","0.0058095238095238096","0.0058095238095238096","0.0058095238095238096","0","0","0"
"292","0.033857142857142856","0.033857142857142856","0.033857142857142856","0","0","0","0.01661904761904762","0.01661904761904762","0.01661904761904762","0.12857142857142856","0.12857142857142856","0.12857142857142856","0","0","0","0.07971428571428571","0.07971428571428571","0.07971428571428571","0","0","0","0.11752380952380953","0.11752380952380953","0.11752380952380953","0.02038095238095238","0.02038095238095238","0.02038095238095238","0","0","0"
"325","0.058761904761904765","0.058761904761904765","0.058761904761904765","0","0","0","0.02542857142857143","0.02542857142857143","0.02542857142857143","0.11885714285714286","0.11885714285714286","0.11885714285714286","0","0","0","0.08576190476190476","0.08576190476190476","0.08576190476190476","0","0","0","0.18166666666666667","0.18166666666666667","0.18166666666666667","0.03642857142857143","0.03642857142857143","0.03642857142857143","0","0","0"
"358","0.060809523809523806","0.060809523809523806","0.060809523809523806","0","0","0","0.019285714285714285","0.019285714285714285","0.019285714285714285","0.12485714285714286","0.12485714285714286","0.12485714285714286","0","0","0","0.1221904761904762","0.1221904761904762","0.1221904761904762","0","0","0","0.18738095238095237","0.18738095238095237","0.18738095238095237","0.033761904761904764","0.033761904761904764","0.033761904761904764","0","0","0"
"390","0.06357142857142857","0.06357142857142857","0.06357142857142857","0","0","0","0.03695238095238095","0.03695238095238095","0.03695238095238095","0.14409523809523808","0.14409523809523808","0.14409523809523808","0","0","0","0.18585714285714286","0.18585714285714286","0.18585714285714286","0","0","0","0.22471428571428573","0.22471428571428573","0.22471428571428573","0.07171428571428572","0.07171428571428572","0.07171428571428572","0","0","0"
"423","0.04690476190476191","0.04690476190476191","0.04690476190476191","0","0","0","0.03133333333333333","0.03133333333333333","0.03133333333333333","0.2009047619047619","0.2009047619047619","0.2009047619047619","0","0","0","0.18223809523809523","0.18223809523809523","0.18223809523809523","0","0","0","0.19938095238095238","0.19938095238095238","0.19938095238095238","0.06542857142857143","0.06542857142857143","0.06542857142857143","0","0","0"
