"Step","cogs/curr_sort_chia_htl_10 - validation/gen/accuracy/total","cogs/curr_sort_chia_htl_10 - validation/gen/accuracy/total__MIN","cogs/curr_sort_chia_htl_10 - validation/gen/accuracy/total__MAX","cogs/curr_sort_chia_etl_10 - validation/gen/accuracy/total","cogs/curr_sort_chia_etl_10 - validation/gen/accuracy/total__MIN","cogs/curr_sort_chia_etl_10 - validation/gen/accuracy/total__MAX","cogs/curr_sort_chia_amb_10 - validation/gen/accuracy/total","cogs/curr_sort_chia_amb_10 - validation/gen/accuracy/total__MIN","cogs/curr_sort_chia_amb_10 - validation/gen/accuracy/total__MAX","cogs_full_42 - validation/gen/accuracy/total","cogs_full_42 - validation/gen/accuracy/total__MIN","cogs_full_42 - validation/gen/accuracy/total__MAX","curr_sort/cogs/ip_htl_10 - validation/gen/accuracy/total","curr_sort/cogs/ip_htl_10 - validation/gen/accuracy/total__MIN","curr_sort/cogs/ip_htl_10 - validation/gen/accuracy/total__MAX","curr_sort/cogs/ip_etl_10 - validation/gen/accuracy/total","curr_sort/cogs/ip_etl_10 - validation/gen/accuracy/total__MIN","curr_sort/cogs/ip_etl_10 - validation/gen/accuracy/total__MAX","curr_sort/cogs/ip_amb_10 - validation/gen/accuracy/total","curr_sort/cogs/ip_amb_10 - validation/gen/accuracy/total__MIN","curr_sort/cogs/ip_amb_10 - validation/gen/accuracy/total__MAX","curr_sort/cogs/bl_htl_10 - validation/gen/accuracy/total","curr_sort/cogs/bl_htl_10 - validation/gen/accuracy/total__MIN","curr_sort/cogs/bl_htl_10 - validation/gen/accuracy/total__MAX","curr_sort/cogs/bl_etl_10 - validation/gen/accuracy/total","curr_sort/cogs/bl_etl_10 - validation/gen/accuracy/total__MIN","curr_sort/cogs/bl_etl_10 - validation/gen/accuracy/total__MAX","curr_sort/cogs/bl_amb_10 - validation/gen/accuracy/total","curr_sort/cogs/bl_amb_10 - validation/gen/accuracy/total__MIN","curr_sort/cogs/bl_amb_10 - validation/gen/accuracy/total__MAX"
"31","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"64","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"96","0.00004761904761904762","0.00004761904761904762","0.00004761904761904762","0","0","0","0","0","0","0","0","0","0.01695238095238095","0.01695238095238095","0.01695238095238095","0","0","0","0","0","0","0.005904761904761905","0.005904761904761905","0.005904761904761905","0","0","0","0.00019047619047619048","0.00019047619047619048","0.00019047619047619048"
"129","0.005904761904761905","0.005904761904761905","0.005904761904761905","0","0","0","0.004952380952380952","0.004952380952380952","0.004952380952380952","0","0","0","0.045142857142857144","0.045142857142857144","0.045142857142857144","0","0","0","0","0","0","0.065","0.065","0.065","0","0","0","0.006857142857142857","0.006857142857142857","0.006857142857142857"
"162","0.038047619047619045","0.038047619047619045","0.038047619047619045","0","0","0","0.020523809523809524","0.020523809523809524","0.020523809523809524","0.0024285714285714284","0.0024285714285714284","0.0024285714285714284","0.07409523809523809","0.07409523809523809","0.07409523809523809","0","0","0","0","0","0","0.09852380952380953","0.09852380952380953","0.09852380952380953","0","0","0","0.028857142857142856","0.028857142857142856","0.028857142857142856"
"194","0.09752380952380953","0.09752380952380953","0.09752380952380953","0","0","0","0.07776190476190477","0.07776190476190477","0.07776190476190477","0.020285714285714285","0.020285714285714285","0.020285714285714285","0.14195238095238094","0.14195238095238094","0.14195238095238094","0","0","0","0","0","0","0.14452380952380953","0.14452380952380953","0.14452380952380953","0","0","0","0.039857142857142855","0.039857142857142855","0.039857142857142855"
"227","0.05880952380952381","0.05880952380952381","0.05880952380952381","0","0","0","0.09761904761904762","0.09761904761904762","0.09761904761904762","0.09642857142857143","0.09642857142857143","0.09642857142857143","0.178","0.178","0.178","0","0","0","0","0","0","0.14609523809523808","0.14609523809523808","0.14609523809523808","0","0","0","0.04947619047619048","0.04947619047619048","0.04947619047619048"
"260","0.12880952380952382","0.12880952380952382","0.12880952380952382","0","0","0","0.1239047619047619","0.1239047619047619","0.1239047619047619","0.07395238095238095","0.07395238095238095","0.07395238095238095","0.14376190476190476","0.14376190476190476","0.14376190476190476","0","0","0","0","0","0","0.21552380952380953","0.21552380952380953","0.21552380952380953","0","0","0","0.09461904761904762","0.09461904761904762","0.09461904761904762"
"292","0.1239047619047619","0.1239047619047619","0.1239047619047619","0","0","0","0.14085714285714285","0.14085714285714285","0.14085714285714285","0.12857142857142856","0.12857142857142856","0.12857142857142856","0.22623809523809524","0.22623809523809524","0.22623809523809524","0","0","0","0","0","0","0.21366666666666667","0.21366666666666667","0.21366666666666667","0","0","0","0.08076190476190476","0.08076190476190476","0.08076190476190476"
"325","0.24504761904761904","0.24504761904761904","0.24504761904761904","0.00004761904761904762","0.00004761904761904762","0.00004761904761904762","0.14561904761904762","0.14561904761904762","0.14561904761904762","0.11885714285714286","0.11885714285714286","0.11885714285714286","0.15314285714285714","0.15314285714285714","0.15314285714285714","0","0","0","0.00780952380952381","0.00780952380952381","0.00780952380952381","0.21295238095238095","0.21295238095238095","0.21295238095238095","0","0","0","0.11338095238095239","0.11338095238095239","0.11338095238095239"
